CLE;ID Operation;Type Operation;Montant;Solde avant;Solde apres;Code proprietaire;Telephone;Statut;ID Transaction;Num bordereau;Date operation;Date de versement;Banque appro;Login demandeur Appro;Login valideur Appro;Motif rejet;Frais connexion;Numero Trans GU;Agent;Motif regularisation;groupe de reseau
1754434280954;2428004857;FRAIS_TRANSACTION;-300;54.091;54.091;CELCM0001;null;OK;;null;2025;null;null;;;;;1754434280954;718768443;;CM
1754434280954;2428004855;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-27.472;54.119;54.091;CELCM0001;null;OK;;null;2025;null;null;;;;;1754434280954;718768443;;CM
1754433616133;2427995615;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-288.6;54.408;54.119;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433616133;718768443;;CM
1754433616133;2427995617;FRAIS_TRANSACTION;-300;54.119;54.119;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433616133;718768443;;CM
1754433567192;2427994767;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-50.785;54.459;54.408;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433567192;718768443;;CM
1754433567192;2427994769;FRAIS_TRANSACTION;-300;54.408;54.408;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433567192;718768443;;CM
1754433562885;2427994696;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-25;54.484;54.459;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433562885;718768443;;CM
1754433562885;2427994698;FRAIS_TRANSACTION;-300;54.459;54.459;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433562885;718768443;;CM
1754433514972;2427993853;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-444;54.928;54.484;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433514972;718768443;;CM
1754433514972;2427993855;FRAIS_TRANSACTION;-300;54.484;54.484;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433514972;718768443;;CM
1754433071386;2427987656;IMPACT_COMPTIMPACT-COMPTE-GENERAL;373.42;54.559;54.932;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433071386;718768443;;CM
1754433071386;2427987658;FRAIS_TRANSACTION;-3.734;54.932;54.928;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433071386;718768443;;CM
1754433036928;2427987195;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;54.064;54.564;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433036928;718768443;;CM
1754433036928;2427987197;FRAIS_TRANSACTION;-5;54.564;54.559;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433036928;718768443;;CM
1754433031453;2427986982;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-4.36;54.068;54.064;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433031453;718768443;;CM
1754433031453;2427986984;FRAIS_TRANSACTION;-300;54.064;54.064;CELCM0001;null;OK;;null;2025;null;null;;;;;1754433031453;718768443;;CM
1754432997217;2427986764;IMPACT_COMPTIMPACT-COMPTE-GENERAL;500;53.573;54.073;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432997217;718768443;;CM
1754432997217;2427986766;FRAIS_TRANSACTION;-5;54.073;54.068;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432997217;718768443;;CM
1754432912125;2427985481;IMPACT_COMPTIMPACT-COMPTE-GENERAL;367.42;53.21;53.577;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432912125;718768443;;CM
1754432912125;2427985483;FRAIS_TRANSACTION;-3.674;53.577;53.573;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432912125;718768443;;CM
1754432917499;2427985343;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-120.9;53.331;53.21;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432917499;718768443;;CM
1754432917499;2427985345;FRAIS_TRANSACTION;-300;53.21;53.21;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432917499;718768443;;CM
1754432687760;2427982121;IMPACT_COMPTIMPACT-COMPTE-GENERAL;49.86;53.282;53.331;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432687760;718768443;;CM
1754432687760;2427982123;FRAIS_TRANSACTION;498;53.331;53.331;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432687760;718768443;;CM
1754432574619;2427980014;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-245.025;53.527;53.282;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432574619;718768443;;CM
1754432574619;2427980016;FRAIS_TRANSACTION;-300;53.282;53.282;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432574619;718768443;;CM
1754432319452;2427976022;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-499.5;54.027;53.527;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432319452;718768443;;CM
1754432319452;2427976024;FRAIS_TRANSACTION;-300;53.527;53.527;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432319452;718768443;;CM
1754432316460;2427976015;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-42.16;54.069;54.027;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432316460;718768443;;CM
1754432316460;2427976017;FRAIS_TRANSACTION;-300;54.027;54.027;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432316460;718768443;;CM
1754432309280;2427975832;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-70.04;54.139;54.069;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432309280;718768443;;CM
1754432309280;2427975834;FRAIS_TRANSACTION;-300;54.069;54.069;CELCM0001;null;OK;;null;2025;null;null;;;;;1754432309280;718768443;;CM
1754431673337;2427965359;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-136;54.276;54.14;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431673337;718768443;;CM
1754431673337;2427965361;FRAIS_TRANSACTION;-300;54.14;54.139;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431673337;718768443;;CM
1754431156668;2427957161;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-26.005;54.302;54.276;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431156668;718768443;;CM
1754431156668;2427957163;FRAIS_TRANSACTION;-300;54.276;54.276;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431156668;718768443;;CM
1754431152598;2427957116;IMPACT_COMPTIMPACT-COMPTE-GENERAL;-80.6;54.383;54.302;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431152598;718768443;;CM
1754431152598;2427957118;FRAIS_TRANSACTION;-300;54.302;54.302;CELCM0001;null;OK;;null;2025;null;null;;;;;1754431152598;718768443;;CM
